month,lik_choc,pred_level,pred_exante,pred_abs,naive_level,drift_level
2024-01-01,84.3914,83.7391229470764,83.771922127819,83.7550777615324,83.8844,83.9190796451994
2024-02-01,84.5612,83.3299788373424,83.6637131513568,83.1483380927504,83.8844,83.9537736277223
2024-03-01,85.6852,83.2005312859361,84.2066654878969,82.9236746077882,83.8844,83.9884819534963
2024-04-01,85.49,83.0861305579833,84.4715302555952,82.1054883060784,83.8844,84.0232046284511
2024-05-01,86.2465,83.670810035688,84.7086494014018,82.6936911463058,83.8844,84.057941658519
2024-06-01,87.5774,85.5439252783319,84.7180171333091,86.7324560792403,83.8844,84.0926930496346
2024-07-01,87.6196,86.9985114070861,85.7648717878794,88.1803737158058,83.8844,84.1274588077353
2024-08-01,87.9424,87.8942514275456,85.9042310472613,91.3001606891101,83.8844,84.1622389387606
2024-09-01,89.4834,85.712081898278,85.0500166993982,85.8495505585925,83.8844,84.1970334486525
2024-10-01,89.8978,87.2930985942815,85.9858359119431,88.7405809420111,83.8844,84.2318423433556
2024-11-01,90.3219,85.8523857308151,85.6121907332613,85.5687026331196,83.8844,84.266665628817
2024-12-01,91.482,86.2683562486047,85.6403540921499,87.9521371299266,83.8844,84.301503310986
2025-01-01,93.2518,84.4871212480691,85.5629617256623,83.3211748229142,83.8844,84.3363553958146
2025-02-01,94.2791,86.069361837878,85.1445224957925,86.2641450055117,83.8844,84.3712218892571
2025-03-01,95.1403,89.4586398469229,86.3820038066306,94.2147663724928,83.8844,84.4061027972705
2025-04-01,96.6337,91.010121529549,86.4626144221181,98.4835120637464,83.8844,84.4409981258139
2025-05-01,97.4579,89.5583857949958,86.8249062178538,94.5252230721674,83.8844,84.4759078808492
2025-06-01,97.3673,89.6622291606285,87.0117362759349,93.4147943853184,83.8844,84.5108320683405
2025-07-01,99.5949,89.2935724691116,87.1573535932386,90.0149271474206,83.8844,84.5457706942546
2025-08-01,100.7853,93.2032317830453,87.6603275897948,100.118731262276,83.8844,84.5807237645607
2025-09-01,100.6182,89.9432644129729,86.4439937067797,94.1139625776713,83.8844,84.6156912852303
2025-10-01,99.5487,92.7461923616262,87.2463727971866,98.4247357764977,83.8844,84.6506732622376
2025-11-01,99.3238,91.0688590503418,86.4944524544835,94.8378133977688,83.8844,84.6856697015591
2025-12-01,100,93.2457683408887,86.1528299658634,101.598801963241,83.8844,84.7206806091738
2026-01-01,99.8779,92.7682083911523,86.1411255663973,102.714516304712,83.8844,84.7557059910633
2026-02-01,98.5831,91.2980948179121,85.9959326351609,97.5745650531666,83.8844,84.7907458532116
2026-03-01,99.9204,91.1513075107142,86.4227898275644,93.9631118323712,83.8844,84.825800201605
2026-04-01,98.4515,91.5277689968012,86.5167483522807,95.6396787239788,83.8844,84.8608690422326
2026-05-01,97.9337,90.9602110833156,86.2726126525361,96.9531574678479,83.8844,84.8959523810858
2026-06-01,97.7121,89.3588748517053,86.4178684578288,95.3771490064043,83.8844,84.9310502241583
2026-07-01,98.3267,88.7883561968207,86.4549358667161,93.7614623889577,83.8844,84.9661625774467
2026-08-01,97.778,90.3749382003485,86.8811916220044,95.3978846220819,83.8844,85.0012894469496
