horizon,elasticity,lo,hi
0,0.00019417736772188,-0.0231750722919965,0.0235634270274402
1,-0.014927678428346,-0.041159678512756,0.011304321656064
2,0.0036173632994241,-0.0314976400530546,0.0387323666519028
3,0.01281657989318,-0.0157156849055384,0.0413488446918984
4,0.0197140016089584,-0.0112982721852848,0.0507262754032017
5,0.0195491550713122,-0.0150801090131523,0.0541784191557767
6,0.0192289070433361,-0.0123598595347604,0.0508176736214325
7,0.0160359611550342,-0.0250159931002932,0.0570879154103615
8,0.0413746519381087,0.00420497257703421,0.0785443312991832
9,0.0415945583668301,-0.000580615147646783,0.0837697318813069
10,0.0418316076855808,-0.00308500976473636,0.0867482251358979
11,0.0486134880808524,0.00606024617445703,0.0911667299872477
12,0.0703812719170275,0.0238109485287416,0.116951595305313
13,0.0719488910365534,0.0260343745346856,0.117863407538421
14,0.0783107247361501,0.0302256277534372,0.126395821718863
15,0.0759645792634139,0.0100040266259922,0.141925131900836
16,0.103449602935936,0.045458113044895,0.161441092826977
17,0.106203404602009,0.0416362580241993,0.170770551179819
18,0.129102394072041,0.0657583451357657,0.192446443008315
19,0.113223040074402,0.0514252526070447,0.17502082754176
20,0.132324101612165,0.0651222298807189,0.199525973343611
21,0.150294826675473,0.0822938861035382,0.218295767247407
22,0.138983566888988,0.0660488120489179,0.211918321729058
23,0.144916142285919,0.0706567322858678,0.219175552285971
24,0.13514657642413,0.0577841937390868,0.212508959109174
