analysis,elasticity,lo,hi
"Main model (24 lags, 2002-2026)",0.13514657642413,0.0577841937390868,0.212508959109174
Without food-price control,0.126358288367728,0.0487070427952891,0.204009533940168
With sugar-price changes (24 lags),0.132526583060461,0.050542695023247,0.214510471097675
18 lags,0.124791796944228,0.0606265744263971,0.188957019462059
30 lags,0.137515526996457,0.0494606606252905,0.225570393367624
Cocoa in USD (no exchange-rate conversion),0.134422882598448,0.0610514005079618,0.207794364688935
Up to 2022 only (before the shock),0.0911373014778157,-0.0171689488807884,0.19944355183642
