flow,month,cpa,value_ix,uv_ix,vol_ix,status
E,2012-01-01,1082,100,100,100,def
E,2012-02-01,1082,100,100,100,def
E,2012-03-01,1082,100,100,100,def
E,2012-04-01,1082,100,100,100,def
E,2012-05-01,1082,100,100,100,def
E,2012-06-01,1082,100,100,100,def
E,2012-07-01,1082,100,100,100,def
E,2012-08-01,1082,100,100,100,def
E,2012-09-01,1082,100,100,100,def
E,2012-10-01,1082,100,100,100,def
E,2012-11-01,1082,100,100,100,def
E,2012-12-01,1082,100,100,100,def
E,2013-01-01,1082,97.6424102783203,98.0464553833008,99.5879058837891,def
E,2013-02-01,1082,99.0314559936524,99.6565093994141,99.3727874755859,def
E,2013-03-01,1082,93.2204132080078,99.0806579589844,94.0853729248047,def
E,2013-04-01,1082,79.0807189941406,100.03670501709,79.0516967773438,def
E,2013-05-01,1082,92.0792236328125,101.078506469727,91.0967407226562,def
E,2013-06-01,1082,102.496459960938,98.3869018554688,104.176933288574,def
E,2013-07-01,1082,118.207344055176,98.7286834716797,119.7294921875,def
E,2013-08-01,1082,113.50235748291,97.2790451049805,116.677085876465,def
E,2013-09-01,1082,126.512992858887,96.9947662353516,130.432800292969,def
E,2013-10-01,1082,132.178146362305,99.9886322021484,132.193176269531,def
E,2013-11-01,1082,119.649353027344,103.438247680664,115.672248840332,def
E,2013-12-01,1082,99.5416107177734,102.566055297852,97.0512237548828,def
E,2014-01-01,1082,97.6478729248047,100.84049987793,96.833984375,def
E,2014-02-01,1082,97.9389038085938,99.9559097290039,97.9821014404297,def
E,2014-03-01,1082,96.2792053222656,100.679130554199,95.6297454833984,def
E,2014-04-01,1082,86.3953018188477,100.12483215332,86.2875823974609,def
E,2014-05-01,1082,97.2497177124023,101.356986999512,95.9477233886719,def
E,2014-06-01,1082,101.018692016602,103.656135559082,97.4555816650391,def
E,2014-07-01,1082,118.278694152832,102.675354003906,115.196769714355,def
E,2014-08-01,1082,120.001396179199,100.714698791504,119.149833679199,def
E,2014-09-01,1082,136.366409301758,100.544525146484,135.627883911133,def
E,2014-10-01,1082,146.871292114258,101.439208984375,144.787490844727,def
E,2014-11-01,1082,127.33097076416,104.692848205566,121.623374938965,def
E,2014-12-01,1082,101.726989746094,104.763748168945,97.1013336181641,def
E,2015-01-01,1082,99.9259185791016,104.271842956543,95.8321228027344,def
E,2015-02-01,1082,94.656982421875,101.177131652832,93.5557022094727,def
E,2015-03-01,1082,98.5620651245117,101.494918823242,97.1103439331055,def
E,2015-04-01,1082,85.9373168945313,101.071517944336,85.0262451171875,def
E,2015-05-01,1082,92.9552917480469,101.435508728027,91.6397933959961,def
E,2015-06-01,1082,109.166725158691,99.767578125,109.421043395996,def
E,2015-07-01,1082,125.823860168457,101.062301635742,124.501281738281,def
E,2015-08-01,1082,129.727630615234,101.738021850586,127.511459350586,def
E,2015-09-01,1082,149.570877075195,102.063591003418,146.546752929688,def
E,2015-10-01,1082,140.406112670898,102.431480407715,137.073211669922,def
E,2015-11-01,1082,124.522705078125,105.081703186035,118.500839233398,def
E,2015-12-01,1082,102.694053649902,105.412269592285,97.4213562011719,def
E,2016-01-01,1082,93.7104644775391,102.784912109375,91.1714172363281,def
