model,sum_of_lags,lo,hi,shelf_pct_per_chf_kg_at_index_100
percentage (log) model,0.13514657642413,0.0577841937390868,0.212508959109174,
absolute (cost-share) model,3.16992628938411,1.60671801641034,4.73313456235789,3.16992628938411
